Jenis_Rumah,Lokasi,KT,KM,Garasi_Null,Garasi,LT,LB,Harga,Harga_New,Juta
Rumah,"Tembalang, Semarang",2,1,,1,60,30,300,0.3,0.001
Rumah,"Semarang Timur, Semarang",2,1,,1,65,30,300,0.3,
Rumah,"Gunung Pati, Semarang",2,1,1,1,120,32,300,0.3,
Rumah,"Genuk, Semarang",2,1,1,1,60,36,300,0.3,
Rumah,"Tembalang, Semarang",2,1,,1,72,36,300,0.3,
Rumah,"Pedurungan, Semarang",2,1,1,1,84,36,300,0.3,
Rumah,"Mijen, Semarang",2,1,1,1,120,36,300,0.3,
Rumah,"Gunung Pati, Semarang",2,1,1,1,120,36,300,0.3,
Rumah,"Semarang Barat, Semarang",2,1,1,1,126,36,300,0.3,
Rumah,"Banyumanik, Semarang",2,1,1,1,91,38,300,0.3,
Rumah,"Tembalang, Semarang",2,1,1,1,60,40,300,0.3,
Rumah,"Tembalang, Semarang",2,1,1,1,72,45,300,0.3,
Rumah,"Gunung Pati, Semarang",2,1,2,2,122,45,300,0.3,
Rumah,"Gunung Pati, Semarang",2,1,1,1,122,45,300,0.3,
Rumah,"Semarang Tengah, Semarang",2,2,,1,55,60,300,0.3,
Rumah,"Genuk, Semarang",2,1,1,1,72,60,300,0.3,
Rumah,"Genuk, Semarang",2,2,1,1,72,60,300,0.3,
Rumah,"Mijen, Semarang",2,1,1,1,120,60,300,0.3,
Rumah,"Semarang Timur, Semarang",2,1,1,1,66,66,300,0.3,
Rumah,"Tembalang, Semarang",2,1,,1,65,70,300,0.3,
Rumah,"Genuk, Semarang",2,1,1,1,72,72,300,0.3,
Rumah,"Ngaliyan, Semarang",2,1,1,1,72,72,300,0.3,
Rumah,"Mijen, Semarang",2,1,,1,72,72,300,0.3,
Rumah,"Genuk, Semarang",2,1,,1,98,72,300,0.3,
Rumah,"Mijen, Semarang",3,1,1,1,121,72,300,0.3,
Rumah,"Gunung Pati, Semarang",3,1,,1,74,74,300,0.3,
Rumah,"Mijen, Semarang",2,2,1,1,96,80,300,0.3,
Rumah,"Pedurungan, Semarang",2,1,,1,82,82,300,0.3,
Rumah,"Tugu, Semarang",4,2,1,1,88,88,300,0.3,
Rumah,"Ngaliyan, Semarang",2,1,,1,89,89,300,0.3,
Rumah,"Pedurungan, Semarang",3,2,,1,60,100,300,0.3,
Rumah,"Gayamsari, Semarang",4,1,,1,110,110,300,0.3,
Rumah,"Ngaliyan, Semarang",3,1,,1,112,112,300,0.3,
Rumah,"Gunung Pati, Semarang",2,1,1,1,32,120,300,0.3,
Rumah,"Tembalang, Semarang",2,1,1,1,72,36,310,0.31,
Rumah,"Semarang Timur, Semarang",2,1,,1,73,45,310,0.31,
Rumah,"Genuk, Semarang",2,1,,1,76,76,310,0.31,
Rumah,"Pedurungan, Semarang",2,1,1,1,66,36,315,0.315,
Rumah,"Pedurungan, Semarang",2,1,1,1,66,39,315,0.315,
Rumah,"Pedurungan, Semarang",2,1,1,1,70,45,315,0.315,
Rumah,"Gunung Pati, Semarang",2,1,,1,72,30,320,0.32,
